Provincia;Acceso;Fecha
Suma Provincias;20.908.548;01/11/2021
BsAs Provincia y CABA;21.130.577;01/11/2021
Suma Provincias;21.048.257;01/12/2021
BsAs Provincia y CABA;21.371.445;01/12/2021
Suma Provincias;21.071.510;01/01/2022
BsAs Provincia y CABA;21.353.572;01/01/2022
Suma Provincias;21.087.194;01/02/2022
BsAs Provincia y CABA;21.392.777;01/02/2022
Suma Provincias;21.345.779;01/03/2022
BsAs Provincia y CABA;21.643.270;01/03/2022
Suma Provincias;21.358.796;01/04/2022
BsAs Provincia y CABA;21.672.117;01/04/2022
Suma Provincias;21.451.860;01/05/2022
BsAs Provincia y CABA;21.798.565;01/05/2022
Suma Provincias;21.522.730;01/06/2022
BsAs Provincia y CABA;21.824.888;01/06/2022
Suma Provincias;21.694.957;01/07/2022
BsAs Provincia y CABA;21.953.282;01/07/2022
Suma Provincias;21.851.194;01/08/2022
BsAs Provincia y CABA;22.218.571;01/08/2022
Suma Provincias;21.964.388;01/09/2022
BsAs Provincia y CABA;22.325.565;01/09/2022
Suma Provincias;21.995.596;01/10/2022
BsAs Provincia y CABA;22.354.868;01/10/2022
Suma Provincias;22.053.391;01/11/2022
BsAs Provincia y CABA;22.434.522;01/11/2022
Suma Provincias;22.033.838;01/12/2022
BsAs Provincia y CABA;22.814.765;01/12/2022
